43,TI190226B,2019-02-26,
44,TI190228A,2019-02-28,
45,TI190302C,2019-03-02,
46,TI190309C,2019-03-09,
47,TI190309E,2019-03-09,
48,TI190312D,2019-03-12,
49,TI190316B,2019-03-16,
50,TI190321B,2019-03-21,
51,TI190323B,2019-03-23,
52,TI190326B,2019-03-26,
53,TI190328A,2019-03-28,
54,TI190404B,2019-04-04,
55,TI190409B,2019-04-09,
56,TI190411B,2019-04-11,
57,TI190413D,2019-04-13,
58,TI190418A,2019-04-18,
59,TI190420D,2019-04-20,
60,TI190425B,2019-04-25,2019-05-15
61,TI190427B,2019-04-27,2019-05-17
62,TI190509B,2019-05-09,2019-05-20
63,TI190511D,2019-05-11,2019-05-22
69,TI190518C-1,2019-05-18,2019-05-29
70,TI190518C-2,2019-05-18,2019-05-31
71,TI190525C,2019-05-25,2019-06-07
72,TI190525D,2019-05-25,2019-06-10
79,TI190601D1,2019-06-01,2019-06-12
80,TI190601D2,2019-06-01,2019-06-14
81,TI190613A,2019-06-13,2019-06-26
82,TI190615D,2019-06-15,2019-07-03
83,TI190615E,2019-06-15,2019-06-27
84,TI190620B,2019-06-20,2019-07-01
85,TI190622C,2019-06-22,2019-07-03
86,TI190629C,2019-06-29,
87,TI190706C,2019-07-06,2019-07-17
88,TI190711B,2019-07-11,2019-07-19
91,TI190716D,2019-07-16,2019-07-29
96,TI190713C1,2019-07-13,2019-07-24
97,TI190713C2,2019-07-13,2019-07-26
98,TI190716C,2019-07-16,2019-07-29
99,TI190720D,2019-07-20,2019-07-31
100,TI190720C,2019-07-20,2019-08-02
101,TI190725B1,2019-07-25,2019-08-07
102,TI190727C,2019-07-27,
103,TI190801B1,2019-08-01,2019-08-19
106,TI190808B1,2019-08-08,2019-08-23
107,TI190808B2,2019-08-08,2019-08-26
108,TI190822A1,2019-08-22,2019-09-04
109,TI190822A2,2019-08-22,2019-09-02
110,TI190824C,2019-08-24,2019-09-06
111,TI190829B1,2019-08-29,2019-09-11
112,TI190829B2,2019-08-29,2019-09-06
113,TI190905A1,2019-09-05,2019-09-13
114,TI190905A2,2019-09-05,2019-09-18
117,TI190912B1,2019-09-12,2019-09-25
118,TI190919A1,2019-09-19,2019-10-02
119,TI190919A2,2019-09-19,2019-09-27
120,TI190926B1,2019-09-26,2019-10-09
121,TI191001D,2019-10-01,2019-10-14
122,TI191017B,2019-10-17,2019-10-28
123,TI191019C,2019-10-19,2019-10-30
124,TI191024B,2019-10-24,2019-11-01
125,TI191026A,2019-10-26,2019-11-06
126,TI191031B1,2019-10-31,2019-11-08
127,TI191031B2,2019-10-31,2019-11-13
128,TI191107B1,2019-11-07,2019-11-15
130,TI191107B3,2019-11-07,2019-11-18
133,TI191116D1,2019-11-16,2019-11-29
134,TI191116D2,2019-11-16,2019-11-27
135,TI191121B,2019-11-21,2019-12-02
136,TI191123C1,2019-11-23,2019-12-04
137,TI191123C2,2019-11-23,2019-12-06
140,TI191207C,2019-12-07,2019-12-18
146,TI191212B,2019-12-12,2019-12-25
147,TI191219A,2019-12-19,2020-01-08
148,TI191130D1,2019-11-30,2019-12-13
149,TI191130D2,2019-11-30,2019-12-11
150,TI191114C,2019-11-11,2019-11-25
151,TI191221C,2019-12-21,2020-01-08
152,TI191226B,2019-12-26,2020-01-10
153,TI200109B1,2020-01-09,2020-01-20
154,TI200109B2,2020-01-09,2020-01-22
156,TI200111C,2020-01-11,2020-01-24
157,TI200114D,2020-01-14,2020-01-27
158,TI200116B,2020-01-16,2020-01-29
159,TI200118D,2020-01-18,2020-01-31
160,TI200123C1,2020-01-23,2020-02-07
161,TI200123C2,2020-01-23,2020-02-05
162,TI200227A,2020-02-27,2020-03-06
163,TI200307A,2020-03-07,2020-03-16
164,TI200312A,2020-03-12,2020-03-25
165,TI200319A,2020-03-19,2020-03-30
166,TI200321A,2020-03-21,2020-04-01
167,TI200326A,2020-03-26,2020-04-08
168,TI200331A,2020-03-31,2020-04-10
169,TI200402A1,2020-04-02,2020-04-13
170,TI200402A2,2020-04-02,
172,TI200404A,2020-04-04,2020-04-15
173,TI200411C,2020-04-11,2020-04-22
174,TI200416A,2020-04-16,2020-04-24
175,TI200418A,2020-04-18,2020-04-27
176,TI200421A,2020-04-21,2020-05-01
177,TI200423A,2020-04-23,2020-05-08
178,TI200425A,2020-04-25,2020-05-11
179,TI200430A,2020-04-30,2020-05-13
180,TI200509B,2020-05-09,
181,TI200509A,2020-05-09,
182,TI200514A,2020-05-14,2020-05-25
183,TI200521A,2020-05-21,2020-06-03
184,TI200528B,2020-05-28,2020-06-10
185,TI200604A,2020-06-04,2020-06-17
186,TI200611B,2020-06-11,2020-06-24
188,TI200618B,2020-06-18,2020-07-01
189,TI200625B,2020-06-25,2020-07-08
190,TI200702B,2020-07-02,2020-07-15
191,TI200709B1,2020-07-09,2020-07-22
192,TI200709B2,2020-07-09,2020-07-20
193,TI200709B3,2020-07-09,
194,TI200718C,2020-07-18,2020-07-25
195,TI200718D,2020-07-18,2020-07-28
196,TI200716B,2020-07-16,2020-07-29
197,TI200723B1,2020-07-23,2020-08-05
198,TI200723B2,2020-07-23,2020-08-03
199,TI200723B3,2020-07-23,
200,TI200730B1,2020-07-30,2020-08-07
201,TI200730B2,2020-07-30,2020-08-17
203,TI200804A1,2020-08-04,2020-08-24
204,TI200804A2,2020-08-04,2020-08-26
205,TI200801D,2020-08-01,2020-08-19
206,TI200806C,2020-08-06,2020-08-21
207,TI200820B1,2020-08-20,2020-09-04
208,TI200820B2,2020-08-20,2020-09-02
209,TI200820B3,2020-08-20,2020-08-31
210,TI200827B1,2020-08-27,2020-09-09
211,TI200827B2,2020-08-27,2020-09-11
212,TI200827B3,2020-08-27,
213,TI200827B4,2020-08-27,
214,TI200903B,2020-09-03,2020-09-16
215,TI200905A,2020-09-05,2020-09-23
216,TI200910A1,2020-09-10,2020-09-25
217,TI200910A2,2020-09-10,2020-09-18
218,TI200917A1,2020-09-17,2020-09-30
219,TI200917A2,2020-09-17,2020-10-02
220,TI200917A3,2020-09-17,2020-09-28
221,TI200919A,2020-09-19,2020-10-05
222,TI200924A,2020-09-24,2020-10-07
223,TI201001A1,2020-10-01,2020-10-16
224,TI201001A2,2020-10-01,
225,TI201001A3,2020-10-01,2020-10-14
226,TI201015A1,2020-10-15,2020-10-30
227,TI201015A2,2020-10-15,
228,TI201015A3,2020-10-15,2020-10-28
229,TI201022A1,2020-10-22,
230,TI201022A2,2020-10-22,2020-11-04
231,TI201024A1,2020-10-24,2020-11-02
232,TI201024A2,2020-10-24,2020-11-06
233,TI201029A,2020-10-29,2020-11-11
234,TI201105A,2020-11-05,2020-11-16
235,TI201110A1,2020-11-10,2020-11-25
236,TI201110A2,2020-11-10,2020-11-27
237,TI201119A1,2020-11-19,
238,TI201119A2,2020-11-19,2020-12-02
239,TI201119A3,2020-11-19,2020-11-30
240,TI201119A4,2020-11-19,2020-12-04
241,TI201126A1,2020-11-26,
242,TI201126A2,2020-11-26,2020-12-11
243,TI201126A3,2020-11-26,2020-12-10
244,TI201126A4,2020-11-26,2020-12-09
245,TI201203A,2020-12-03,2020-12-16
246,TI201208A1,2020-12-08,2020-12-23
247,TI201208A2,2020-12-08,2020-12-21
249,TI201217A1,2020-12-17,2021-01-06
250,TI201217A2,2020-12-17,2021-01-08
251,TI201222A1,2020-12-22,2021-01-13
252,TI201222A2,2020-12-22,2021-01-15
253,TI210102A,2021-01-02,2021-01-18
254,TI210107A1,2021-01-07,2021-01-22
255,TI210107A2,2021-01-07,
256,TI210107A3,2021-01-07,2021-01-20
257,TI210114A1,2021-01-14,2021-01-27
258,TI210114A2,2021-01-14,
259,TI210114A3,2021-01-14,2021-01-29
260,TI210119A1,2021-01-19,2021-02-03
261,TI210119A2,2021-01-19,2021-02-05
262,TI210126A,2021-01-26,2021-02-10
263,TI210128A1,2021-01-28,
264,TI210128A2,2021-01-28,
265,TI210128A3,2021-01-28,2021-02-12
266,TI210204A1,2021-02-04,2021-02-17
267,TI210204A2,2021-02-04,2021-02-19
268,TI210206A,2021-02-06,2021-02-24
269,TI210225A1,2021-02-25,2021-03-10
270,TI210225A2,2021-02-25,
271,TI210225A3,2021-02-25,2021-03-12
272,TI210304A1,2021-03-04,
273,TI210304A2,2021-03-04,
274,TI210304A3,2021-03-04,2021-03-17
275,TI210306A1,2021-03-06,2021-03-19
276,TI210306A2,2021-03-06,2021-03-15
277,TI210311A1,2021-03-11,2021-03-24
278,TI210311A2,2021-03-11,
279,TI210318A1,2021-03-18,
280,TI210318A2,2021-03-18,2021-04-02
281,TI210318A3,2021-03-18,2021-03-29
282,TI210325A1,2021-03-25,2021-04-07
283,TI210325A2,2021-03-25,2021-04-08
284,TI210325A3,2021-03-25,2021-04-06
285,TI210401A1,2021-04-01,2021-04-20
286,TI210401A2,2021-04-01,2021-04-14
287,TI210401A3,2021-04-01,2021-04-16
288,TI210401A4,2021-04-01,2021-04-13
289,TI210403A1,2021-04-03,2021-04-19
290,TI210403A2,2021-04-03,2021-04-15
291,TI210408A,2021-04-08,2021-04-22
292,TI210410A,2021-04-10,2021-04-23
293,TI210415A1,2021-04-15,2021-04-30
294,TI210415A2,2021-04-15,2021-04-28
295,TI210415A3,2021-04-15,2021-04-26
296,TI210415A4,2021-04-15,2021-04-23
297,TI210415A5,2021-04-15,2021-04-27
298,TI210424A,2021-04-24,2021-05-17
301,TI210422A1,2021-04-22,2021-05-14
302,TI210422A2,2021-04-22,2021-05-12
303,TI210429A1,2021-04-29,2021-05-19
304,TI210429A2,2021-04-29,
305,TI210429A3,2021-04-29,2021-05-21
