番地,コード,ピック数量,番地在庫,生産日,受注NO
B-い-2,013CH232W-37C SN/01,2,9,2020-09-29,JUC000011964-06
F-う-1,013CH271-37C SP/180,2,9,2020-09-29,JUC000011360-03
G-あ-1,013CH271I-03C SP/183,1,4,2020-09-29,JUC000013914-01
G-あ-3,013CH271-37C SN/02,2,31,2020-09-29,JUC000012104-03
G-あ-3,013CH271-37C SN/02,2,29,2020-09-29,JUC000012992-06
G-あ-3,013CH271-37C SN/02,2,27,2020-09-29,JUC000013273-03
J-い-1,013CH271I-09C SP/183,1,3,2020-09-29,JUC000012992-01
K-う-2,013CH232WI-50C SN/01,1,4,2020-09-29,JUC000011964-05
L-え-1,013CH271I-42C SN/01,1,3,2020-09-29,JUC000012235-04
M-あ-1,013CH271I-42C SP/180,1,3,2020-09-29,JUC000011360-02
M-い-3,013CH271I-09C SN/03,1,1,2020-09-29,JUC000012686-05
M-う-2,013CH271I-09C SN/02,1,4,2020-09-29,JUC000012992-04
M-う-2,013CH271I-09C SN/02,1,3,2020-09-29,JUC000013273-02
M-え-3,013CH271I-49C SP/183,1,3,2020-09-29,JUC000012992-02
O-う-2,013CH271I-42C SN/02,1,4,2020-09-29,JUC000012104-02
P-あ-3,013CH271I-42C SN/03,1,1,2020-09-29,JUC000012197-02
P-え-2,013CH232WI-08C SN/01,1,3,2020-09-29,JUC000011964-04
Q-う-3,013CH271I-49C SN/02,1,4,2020-09-29,JUC000012992-05
Q-う-3,013CH271I-49C SN/02,1,3,2020-09-29,JUC000013273-01
S-い-4,013CH271I-50C SN/02,1,2,2020-09-29,JUC000012104-01
S-え-1,013CH271I-50C SP/180,1,1,2020-09-29,JUC000011360-01
U-あ-4,013CH271I-49C SN/03,1,1,2020-09-29,JUC000012686-04
U-う-3,013CH271I-50C SN/03,1,1,2020-09-29,JUC000012197-01
mitei,013CH271-37C SN/03,2,0,2020-09-29,JUC000012197-03
mitei,013CH271-35C SN/03,2,0,2020-09-29,JUC000012197-04
mitei,013CH271I-42C SN/03,1,0,2020-09-29,JUC000012223-01
mitei,013CH271I-50C SN/03,1,0,2020-09-29,JUC000012223-02
mitei,013CH271-37C SN/03,1,0,2020-09-29,JUC000012223-03
mitei,013CH271-37C SN/03,2,0,2020-09-29,JUC000012223-04
mitei,013CH271I-50C SN/01,1,0,2020-09-29,JUC000012235-05
mitei,013CH271-37C SN/01,2,0,2020-09-29,JUC000012235-06
mitei,013CH271I-42C SN/03,1,0,2020-09-29,JUC000012258-01
mitei,013CH271I-50C SN/03,1,0,2020-09-29,JUC000012258-02
mitei,013CH271-37C SN/03,2,0,2020-09-29,JUC000012258-03
mitei,013CH271-37C SN/03,2,0,2020-09-29,JUC000012686-06
mitei,013CH271-35C SN/03,2,0,2020-09-29,JUC000012761-03
mitei,013CH271-37C SP/183,2,0,2020-09-29,JUC000012992-03
mitei,013CH271-37C SP/183,2,0,2020-09-29,JUC000013914-02
mitei,013CH232W-35C SN/02,2,0,2020-09-29,JUC000014037-01
